month_period,lat_bin_1deg,lon_bin_1deg,gap_count,total_gap_hours,unique_vessels
2017-01,-30,-125,1,14.2,1
2017-01,-30,-124,1,999.7333333333332,1
2017-01,-30,15,1,50.93333333333333,1
2017-01,-29,-124,1,17.233333333333334,1
2017-01,-28,14,1,86.8,1
2017-01,-27,14,1,24.216666666666665,1
2017-01,-27,39,1,13.866666666666667,1
2017-01,-27,56,1,12.216666666666669,1
2017-01,-27,173,1,87.88333333333334,1
2017-01,-27,174,1,113.28333333333332,1
2017-01,-26,13,1,171.03333333333333,1
2017-01,-25,175,1,38.166666666666664,1
2017-01,-24,-108,1,78.33333333333333,1
2017-01,-24,11,1,13.383333333333333,1
2017-01,-24,49,1,44.666666666666664,1
2017-01,-24,50,1,122.4,1
2017-01,-24,56,1,12.166666666666666,1
2017-01,-23,50,1,12.833333333333334,1
2017-01,-22,-180,1,18.516666666666666,1
2017-01,-22,-170,1,122.33333333333331,1
2017-01,-22,-120,1,21.233333333333334,1
2017-01,-22,-33,1,13.1,1
2017-01,-22,-25,1,391.5833333333333,1
2017-01,-22,-14,1,104.0,1
2017-01,-22,59,1,93.25,1
2017-01,-22,152,1,14.883333333333333,1
2017-01,-22,176,1,15.95,1
2017-01,-22,179,1,12.083333333333334,1
2017-01,-21,-121,1,20.95,1
2017-01,-21,-116,1,101.93333333333334,1
2017-01,-21,-93,1,42.666666666666664,1
2017-01,-21,-25,1,313.28333333333336,1
2017-01,-21,-23,1,497.06666666666666,1
2017-01,-21,-16,1,12.016666666666667,1
2017-01,-21,59,1,13.333333333333334,1
2017-01,-21,62,1,26.483333333333334,1
2017-01,-21,65,1,13.183333333333334,1
2017-01,-20,-177,1,13.016666666666667,1
2017-01,-20,-98,1,1070.4666666666667,1
2017-01,-20,-89,1,557.1333333333333,1
2017-01,-20,-77,1,143.11666666666667,1
2017-01,-20,61,1,207.63333333333333,1
2017-01,-20,168,1,195.03333333333333,1
2017-01,-20,174,1,16.666666666666668,1
2017-01,-19,-133,1,21.066666666666663,1
2017-01,-19,-132,1,20.45,1
2017-01,-19,-108,1,47.733333333333334,1
2017-01,-19,-100,1,500.85,1
2017-01,-19,-99,1,12.266666666666667,1
2017-01,-19,-95,1,80.8,1
2017-01,-19,-92,1,19.916666666666668,1
2017-01,-19,-80,1,131.26666666666668,1
2017-01,-19,-74,1,15.316666666666666,1
2017-01,-19,-73,1,261.1166666666667,1
2017-01,-19,42,1,113.66666666666669,1
2017-01,-19,58,1,27.933333333333337,1
2017-01,-19,59,1,111.08333333333331,1
2017-01,-19,61,1,64.08333333333333,1
2017-01,-19,170,1,57.85,1
2017-01,-19,172,1,12.266666666666667,1
2017-01,-19,173,1,18.366666666666667,1
2017-01,-19,174,1,12.85,1
2017-01,-18,-117,1,36.35,1
2017-01,-18,-113,1,55.93333333333333,1
2017-01,-18,-106,1,84.48333333333333,1
2017-01,-18,-98,1,21.816666666666663,1
2017-01,-18,-97,1,2263.633333333333,1
2017-01,-18,-80,1,193.86666666666667,1
2017-01,-18,-78,1,12.116666666666667,1
2017-01,-18,-74,1,28.916666666666668,1
2017-01,-18,-36,1,21.733333333333334,1
2017-01,-18,-27,1,15.833333333333334,1
2017-01,-18,8,1,163.46666666666667,1
2017-01,-18,51,1,12.25,1
2017-01,-18,67,1,16.666666666666668,1
2017-01,-18,172,1,12.433333333333334,1
2017-01,-17,-171,1,24.283333333333335,1
2017-01,-17,-169,1,51.166666666666664,1
2017-01,-17,-132,1,106.5,1
2017-01,-17,-115,1,321.98333333333335,1
2017-01,-17,9,1,73.95,1
2017-01,-17,68,1,14.566666666666666,1
2017-01,-17,170,1,17.05,1
2017-01,-16,-172,1,31.983333333333334,1
2017-01,-16,-130,1,12.066666666666666,1
2017-01,-16,-127,1,234.48333333333332,1
2017-01,-16,-122,1,22.333333333333332,1
2017-01,-16,-85,1,41.7,1
2017-01,-16,-78,1,17.35,1
2017-01,-16,7,1,144.36666666666667,1
2017-01,-16,60,1,55.71666666666667,1
2017-01,-16,61,1,12.65,1
2017-01,-16,121,1,19.75,1
2017-01,-16,171,1,16.9,1
2017-01,-15,-130,1,33.06666666666667,1
2017-01,-15,-116,1,5567.083333333333,1
2017-01,-15,44,1,172.65,1
2017-01,-15,57,1,52.833333333333336,1
2017-01,-15,65,1,15.45,1
2017-01,-15,67,1,64.83333333333333,1
2017-01,-15,122,1,17.05,1
2017-01,-15,123,1,16.3,1
2017-01,-15,171,1,17.133333333333333,1
2017-01,-15,172,1,17.883333333333333,1
2017-01,-14,-175,1,13.466666666666669,1
2017-01,-14,-136,1,34.733333333333334,1
2017-01,-14,-135,1,12.3,1
2017-01,-14,-134,1,100.56666666666666,1
2017-01,-14,-122,1,23.683333333333337,1
2017-01,-14,-116,1,155.41666666666666,1
2017-01,-14,-109,1,19.383333333333333,1
2017-01,-14,-34,1,23.95,1
2017-01,-13,-172,1,938.7666666666668,1
2017-01,-13,-109,1,17.866666666666667,1
2017-01,-13,8,1,13.833333333333334,1
2017-01,-13,164,1,277.06666666666666,1
2017-01,-12,-174,1,19.283333333333335,1
2017-01,-12,-122,1,21.5,1
2017-01,-12,-120,1,634.0666666666667,1
2017-01,-12,-111,1,14.916666666666666,1
2017-01,-12,-109,1,13.3,1
2017-01,-12,2,1,12.383333333333333,1
2017-01,-12,61,1,47.416666666666664,1
2017-01,-12,66,1,67.81666666666666,1
2017-01,-12,125,1,155.66666666666666,1
2017-01,-11,-180,1,335.35,1
2017-01,-11,-121,1,125.76666666666668,1
2017-01,-11,-95,1,12.016666666666667,1
2017-01,-11,-5,1,12.316666666666666,1
2017-01,-11,158,1,52.483333333333334,1
2017-01,-11,164,1,25.033333333333335,1
2017-01,-11,176,1,318.1,1
2017-01,-11,177,1,216.08333333333337,1
2017-01,-10,-179,1,557.9666666666667,1
2017-01,-10,-109,1,21.783333333333335,1
2017-01,-10,-10,1,159.85,1
2017-01,-10,-9,1,947.4833333333332,1
2017-01,-10,1,1,13.25,1
2017-01,-10,9,1,208.5,1
2017-01,-10,60,1,12.433333333333334,1
2017-01,-10,129,1,20.483333333333334,1
2017-01,-10,154,1,76.13333333333334,1
2017-01,-10,163,1,68.11666666666666,1
2017-01,-10,165,1,20.883333333333333,1
2017-01,-10,168,1,14.4,1
2017-01,-10,169,1,77.73333333333333,1
2017-01,-9,-174,1,179.96666666666667,1
2017-01,-9,-126,1,25.0,1
2017-01,-9,-89,1,12.566666666666666,1
2017-01,-9,-81,1,35.55,1
2017-01,-9,-10,1,108.38333333333334,1
2017-01,-9,0,1,210.43333333333337,1
2017-01,-9,2,1,48.21666666666667,1
2017-01,-9,49,1,20.183333333333337,1
2017-01,-9,57,1,12.166666666666666,1
2017-01,-9,65,1,330.46666666666664,1
2017-01,-9,167,1,81.08333333333333,1
2017-01,-9,170,1,145.48333333333332,1
2017-01,-9,176,1,459.2,1
2017-01,-8,-128,1,70.9,1
2017-01,-8,-121,1,23.3,1
2017-01,-8,5,1,24.433333333333337,1
2017-01,-8,47,1,108.45,1
2017-01,-8,53,1,48.9,1
2017-01,-8,54,1,18.1,1
2017-01,-8,57,1,37.333333333333336,1
2017-01,-8,152,1,222.01666666666668,1
2017-01,-8,164,1,48.333333333333336,1
2017-01,-8,167,1,13.7,1
2017-01,-8,168,1,12.6,1
2017-01,-7,-178,1,177.3,1
2017-01,-7,-166,1,124.16666666666669,1
2017-01,-7,-89,1,23.333333333333332,1
2017-01,-7,0,1,12.366666666666667,1
2017-01,-7,48,1,163.15,1
2017-01,-7,49,1,19.183333333333337,1
2017-01,-7,55,1,12.033333333333331,1
2017-01,-7,58,1,57.46666666666667,1
2017-01,-7,59,1,18.816666666666663,1
2017-01,-7,152,1,12.566666666666666,1
2017-01,-7,157,1,25.916666666666668,1
2017-01,-7,161,1,19.566666666666663,1
2017-01,-7,164,1,72.41666666666667,1
2017-01,-7,165,1,16.216666666666665,1
2017-01,-7,166,1,13.583333333333334,1
2017-01,-6,-180,1,269.76666666666665,1
2017-01,-6,-166,1,28.45,1
2017-01,-6,-163,1,63.38333333333333,1
2017-01,-6,-162,1,20.383333333333333,1
2017-01,-6,-160,1,18.066666666666663,1
2017-01,-6,-159,1,329.4,1
2017-01,-6,-136,1,12.25,1
2017-01,-6,-88,1,380.6666666666667,1
2017-01,-6,-1,1,80.15,1
2017-01,-6,0,1,471.46666666666664,1
2017-01,-6,49,1,14.733333333333333,1
2017-01,-6,51,1,103.8,1
2017-01,-6,57,1,111.83333333333331,1
2017-01,-6,61,1,27.8,1
2017-01,-6,64,1,177.83333333333334,1
2017-01,-5,-180,1,237.0,1
2017-01,-5,-169,1,15.066666666666666,1
2017-01,-5,-166,1,26.85,1
2017-01,-5,-164,1,22.55,1
2017-01,-5,-158,1,142.06666666666666,1
2017-01,-5,-157,1,36.68333333333333,1
2017-01,-5,-143,1,90.5,1
2017-01,-5,-131,1,27.7,1
2017-01,-5,-12,1,1317.45,1
2017-01,-5,0,1,362.8666666666667,1
2017-01,-5,4,1,54.45,1
2017-01,-5,52,1,88.7,1
2017-01,-5,56,1,476.76666666666665,1
2017-01,-5,57,1,132.61666666666667,1
2017-01,-5,162,1,50.5,1
2017-01,-5,164,1,23.483333333333334,1
2017-01,-4,-177,1,283.2,1
2017-01,-4,-167,1,244.45,1
2017-01,-4,-166,1,12.116666666666667,1
2017-01,-4,-162,1,18.45,1
2017-01,-4,-157,1,13.966666666666669,1
2017-01,-4,-133,1,69.86666666666666,1
2017-01,-4,-86,1,631.4833333333333,1
2017-01,-4,46,1,250.65,1
2017-01,-4,49,1,15.966666666666669,1
2017-01,-4,51,1,269.71666666666664,1
2017-01,-4,53,1,12.4,1
2017-01,-4,58,1,498.4166666666667,1
2017-01,-4,66,1,179.26666666666668,1
2017-01,-4,76,1,265.5833333333333,1
2017-01,-4,77,1,316.71666666666664,1
2017-01,-4,155,1,16.233333333333334,1
2017-01,-4,156,1,22.95,1
2017-01,-4,158,1,13.116666666666667,1
2017-01,-4,165,1,66.5,1
2017-01,-4,177,1,186.0,1
2017-01,-3,-180,1,41.516666666666666,1
2017-01,-3,-178,1,896.5333333333333,1
2017-01,-3,-155,1,12.083333333333334,1
2017-01,-3,-152,1,225.66666666666663,1
2017-01,-3,-134,1,22.466666666666665,1
2017-01,-3,-3,1,81.36666666666666,1
2017-01,-3,1,1,64.6,1
2017-01,-3,46,1,43.983333333333334,1
2017-01,-3,48,1,77.95,1
2017-01,-3,54,1,129.56666666666666,1
2017-01,-3,59,1,156.95,1
2017-01,-3,63,1,13.666666666666666,1
2017-01,-3,77,1,314.6166666666667,1
2017-01,-3,158,1,203.38333333333333,1
2017-01,-3,163,1,39.13333333333333,1
2017-01,-3,164,1,14.1,1
2017-01,-3,166,1,61.56666666666667,1
2017-01,-3,168,1,242.58333333333337,1
2017-01,-3,170,1,42.43333333333333,1
2017-01,-3,173,1,162.2,1
2017-01,-2,-180,1,15.35,1
2017-01,-2,-178,1,523.4333333333333,1
2017-01,-2,-168,1,25.166666666666668,1
2017-01,-2,-166,1,12.166666666666666,1
2017-01,-2,-165,1,12.133333333333333,1
2017-01,-2,-156,1,21.316666666666663,1
2017-01,-2,-154,1,22.366666666666667,1
2017-01,-2,-116,1,12.05,1
2017-01,-2,-95,1,245.93333333333337,1
2017-01,-2,-83,1,389.71666666666664,1
2017-01,-2,-12,1,544.0,1
2017-01,-2,-3,1,15.933333333333334,1
2017-01,-2,0,1,67.51666666666667,1
2017-01,-2,148,1,170.26666666666668,1
2017-01,-2,156,1,26.8,1
2017-01,-2,163,1,19.8,1
2017-01,-2,165,1,61.96666666666667,1
2017-01,-2,166,1,19.25,1
2017-01,-2,168,1,196.58333333333337,1
2017-01,-2,170,1,46.6,1
2017-01,-1,-180,1,24.25,1
2017-01,-1,-179,1,44.483333333333334,1
2017-01,-1,-117,1,24.066666666666663,1
2017-01,-1,-82,1,1155.8,1
2017-01,-1,-7,1,22.916666666666668,1
2017-01,-1,1,1,303.6666666666667,1
2017-01,-1,52,1,12.35,1
2017-01,-1,62,1,253.7,1
2017-01,-1,67,1,19.166666666666668,1
2017-01,-1,147,1,86.1,1
2017-01,-1,161,1,12.983333333333333,1
2017-01,-1,165,1,70.95,1
2017-01,-1,172,1,603.8333333333334,1
2017-01,-1,176,1,28.233333333333334,1
2017-01,0,-120,1,12.0,1
2017-01,0,-119,1,22.633333333333333,1
2017-01,0,-7,1,238.0,1
2017-01,0,-6,1,29.3,1
2017-01,0,-5,1,174.8,1
2017-01,0,2,1,40.016666666666666,1
2017-01,0,65,1,118.31666666666666,1
2017-01,0,153,1,22.95,1
2017-01,0,171,1,14.083333333333334,1
2017-01,0,175,1,13.7,1
2017-01,0,179,1,178.0,1
2017-01,1,-174,1,121.06666666666666,1
2017-01,1,-168,1,13.866666666666667,1
2017-01,1,-1,1,125.65,1
2017-01,1,152,1,14.55,1
2017-01,1,163,1,18.533333333333335,1
2017-01,1,169,1,12.416666666666666,1
2017-01,1,175,1,54.28333333333333,1
2017-01,2,-171,1,53.416666666666664,1
2017-01,2,145,1,13.7,1
2017-01,2,147,1,86.08333333333333,1
2017-01,2,162,1,45.5,1
2017-01,2,167,1,16.966666666666665,1
2017-01,2,171,1,24.533333333333335,1
2017-01,2,175,1,38.13333333333333,1
2017-01,3,-142,1,41.21666666666667,1
2017-01,3,-141,1,31.1,1
2017-01,3,60,1,20.65,1
2017-01,3,139,1,21.45,1
2017-01,3,150,1,129.95,1
2017-01,4,-176,1,22.966666666666665,1
2017-01,4,-172,1,12.1,1
2017-01,4,-171,1,57.95,1
2017-01,4,-170,1,12.1,1
2017-01,4,-168,1,36.81666666666667,1
2017-01,4,-167,1,45.55,1
2017-01,4,-38,1,186.4,1
2017-01,4,56,1,113.6,1
2017-01,4,59,1,155.25,1
2017-01,4,161,1,21.0,1
2017-01,4,165,1,98.13333333333334,1
2017-01,4,171,1,18.583333333333332,1
2017-01,4,172,1,32.766666666666666,1
2017-01,4,179,1,37.583333333333336,1
2017-01,5,-37,1,12.2,1
2017-01,5,-21,1,14.866666666666667,1
2017-01,5,-19,1,15.65,1
2017-01,5,147,1,12.683333333333334,1
2017-01,5,170,1,12.283333333333331,1
2017-01,6,-168,1,12.116666666666667,1
2017-01,6,-92,1,1544.1166666666666,1
2017-01,6,150,1,16.183333333333334,1
2017-01,7,-36,1,16.333333333333332,1
2017-01,7,-29,1,12.166666666666666,1
2017-01,7,-22,1,74.31666666666666,1
2017-01,7,-17,1,15.816666666666666,1
2017-01,7,160,1,22.966666666666665,1
2017-01,7,161,1,18.483333333333334,1
2017-01,8,-26,1,14.05,1
2017-01,9,-101,1,52.68333333333333,1
2017-01,9,-90,1,533.55,1
2017-01,9,-34,1,18.1,1
2017-01,10,-179,1,43.86666666666667,1
2017-01,10,-177,1,41.88333333333333,1
2017-01,10,-39,1,13.866666666666667,1
2017-01,10,-17,1,44.31666666666667,1
2017-01,10,176,1,54.85,1
2017-01,10,179,1,12.133333333333333,1
2017-01,11,-180,1,18.683333333333337,1
2017-01,11,-114,1,50.05,1
2017-01,11,-30,1,22.466666666666665,1
2017-01,11,155,1,14.066666666666666,1
2017-01,11,156,1,12.15,1
2017-01,11,157,1,30.766666666666666,1
2017-01,12,-179,1,21.066666666666663,1
2017-01,12,-178,1,22.266666666666666,1
2017-01,12,-167,1,21.366666666666667,1
2017-01,12,-165,1,43.95,1
2017-01,12,173,1,190.23333333333332,1
2017-01,12,174,1,22.733333333333334,1
2017-01,12,175,1,42.4,1
2017-01,12,178,1,21.9,1
2017-01,13,-168,1,12.0,1
2017-01,13,-103,1,64.98333333333333,1
2017-01,13,174,1,18.883333333333333,1
2017-01,14,-180,1,12.183333333333334,1
2017-01,14,-19,1,56.65,1
2017-01,15,-32,1,217.28333333333333,1
2017-01,15,-31,1,191.86666666666667,1
2017-01,15,-27,1,171.7,1
2017-01,15,-26,1,1749.35,1
2017-01,15,156,1,14.866666666666667,1
2017-01,15,174,1,78.93333333333334,1
2017-01,16,-162,1,44.38333333333333,1
2017-01,16,-159,1,40.5,1
2017-01,17,-180,1,12.083333333333334,1
2017-01,17,-179,1,18.566666666666663,1
2017-01,17,-29,1,23.983333333333334,1
2017-01,17,177,1,16.566666666666666,1
2017-01,18,-180,1,22.116666666666667,1
2017-01,18,-26,1,19.033333333333335,1
2017-01,18,178,1,18.166666666666668,1
2017-01,19,-110,1,33.016666666666666,1
2017-01,19,137,1,53.96666666666667,1
2017-01,20,-132,1,278.78333333333336,1
2017-01,20,-18,1,20.016666666666666,1
2017-01,22,148,1,16.366666666666667,1
2017-01,23,-158,1,20.666666666666668,1
2017-01,25,-158,1,12.3,1
